,Unnamed: 0,id,title,top20
0,0.0,2784,美国地质勘探局：印度莫黑安东南部151公里处发生5.1级地震,"[2783, 246825, 432638, 458436, 469330, 328925, 430420, 260417, 260979, 8985, 11892, 78643, 86109, 97592, 58312, 77052, 453584, 316602, 392381, 212980]"
1,1.0,12057,美国MBA抵押贷款申请指数上周上升2.7%。,"[12056, 178183, 18, 259130, 460559, 70567, 244536, 423700, 262193, 444516, 151417, 176019, 417026, 271519, 214321, 24167, 139891, 344948, 307515, 153059]"
2,2.0,19620,美国德州市长：预计将向印度供应更多的原油和液化天然气。,"[19619, 445955, 389266, 132430, 266138, 126171, 451859, 200985, 292759, 480558, 121569, 126371, 206247, 10580, 301708, 249843, 301549, 142934, 111714, 199726]"
3,3.0,23768,欧洲央行月报：仍需要足够程度的货币宽松。,"[23767, 372634, 185142, 396173, 443838, 425767, 31664, 250487, 272221, 341838, 431767, 275219, 61148, 207123, 226788, 405691, 6848, 304612, 135196, 298124]"
4,4.0,23814,IMF：2017年11月委内瑞拉黄金持有量下降6.373吨至184.939吨。,"[23813, 61447, 95867, 108579, 482079, 337786, 441154, 477251, 98329, 96314, 75641, 77329, 361572, 370820, 6469, 441564, 54977, 52073, 472611, 195782]"
5,5.0,28091,YTN：朝鲜金正恩称，他将会和美国举行峰会,"[28090, 261771, 35663, 404195, 222598, 307392, 382819, 109371, 52050, 19492, 49614, 194131, 331594, 332813, 430022, 255538, 105561, 130626, 143655, 447726]"
6,6.0,34581,美国副总统彭斯：（就朝鲜问题）为所有可能的结果做好准备将对任何核武器的使用进行快速应对,"[34580, 202660, 2460, 96161, 63798, 471248, 355269, 393038, 78209, 266135, 395225, 383885, 391510, 205764, 349806, 89797, 8342, 449662, 110099, 124827]"
7,7.0,46930,香港财政司长陈茂波：需要继续留意全球货币环境和地缘政治的变化与政策风险。,"[46929, 241115, 382246, 195377, 289917, 295388, 180402, 169056, 415586, 210205, 91914, 41425, 129983, 149481, 403573, 83786, 391323, 207393, 382331, 210407]"
8,8.0,51579,日本央行理事雨宫正佳：退出宽松的细节将由经济和物价状况决定。,"[51578, 40992, 38209, 439875, 40866, 433620, 272330, 41436, 416211, 11388, 434310, 45662, 171888, 352397, 13943, 278025, 444076, 469754, 292343, 124080]"
9,9.0,62560,日本央行新任副行长：日本不存在通缩，但是距离2%的通胀目标仍有距离。,"[62559, 417407, 116558, 480837, 409814, 116815, 304394, 321563, 281386, 108606, 321092, 193151, 330725, 421929, 316060, 155139, 43768, 98495, 356361, 326333]"
10,10.0,96556,美国明尼阿波利斯联储主席Kashkari称，美联储不能忽视发生全面性贸易战这一风险，美联储无法摆脱贸易战的下行风险，必须设法避免。,"[96555, 342047, 239324, 290006, 50976, 231275, 453073, 425377, 293935, 222566, 437979, 27829, 226730, 208905, 336126, 135477, 236712, 295897, 364462, 249535]"
11,11.0,97000,德国地学研究中心：智利北部海岸附近发生6级地震。,"[96999, 236152, 81545, 163388, 15732, 235777, 435674, 465452, 243581, 301107, 381119, 479729, 480985, 6061, 200144, 264229, 381867, 231443, 165093, 168330]"
12,12.0,105587,美国财长努钦：美国总统特朗普与朝鲜最高领导人金正恩会面的条件是朝鲜无核化以及不再进行导弹测试。,"[105586, 289671, 86717, 238709, 289209, 160158, 348384, 211873, 193903, 433695, 34803, 416099, 411954, 249293, 312291, 282796, 184947, 329032, 182178, 293783]"
13,13.0,109969,伊拉克总统：伊拉克支持欧佩克减产协定。,"[109968, 98900, 191590, 355612, 328008, 45135, 205907, 91887, 227681, 446858, 412752, 374426, 228140, 138731, 417929, 340790, 308142, 344113, 230669, 420959]"
14,14.0,130887,美国纽约联储GDPNowcast模型：将美国2018年第一季度GDP增速预期上调至2.8%，此前预期为2.71%。,"[130886, 35742, 141142, 283812, 130008, 439953, 253232, 368610, 371382, 211237, 307276, 254384, 403680, 126431, 317183, 128064, 328269, 389695, 343584, 129704]"
15,15.0,147430,欧洲央行研究显示， 其量化宽松政策对欧元区债券市场的流动性并未产生负面影响。,"[147429, 256022, 144699, 188444, 323797, 266939, 58859, 60440, 356532, 184636, 294895, 466070, 112490, 337335, 73718, 442395, 280829, 458043, 120059, 381671]"
16,16.0,157489,欧佩克月报：据二手资料显示，伊朗1月原油产出减少0.34万桶/日，至382.9万桶/日。,"[157488, 422805, 327372, 306818, 338971, 266591, 287413, 341110, 331912, 85444, 18475, 124579, 184013, 471532, 372601, 484042, 303757, 48456, 107427, 238128]"
17,17.0,170901,据韩联社：韩国总统文在寅与美国总统特朗普通电，就与朝鲜可能的对话进行讨论。,"[170900, 279498, 44899, 198147, 282796, 472509, 243084, 302079, 408213, 216195, 310771, 329032, 401235, 77040, 301906, 345752, 451558, 457798, 352065, 365397]"
18,18.0,178244,日本气象厅：日本本州岛中部茨城县发生5.1级地震，震源深度60千米。,"[178243, 150175, 146210, 245988, 124685, 129657, 36750, 172244, 318904, 158017, 442262, 340510, 428792, 10103, 339812, 130295, 340226, 244827, 419598, 219032]"
19,19.0,180411,美国圣路易斯联储GDP Nowcast模型：预计美国第一季度GDP增长3.41%，上周料增3.61%。,"[180410, 233585, 460993, 103443, 417489, 479768, 164485, 248146, 16840, 318032, 421962, 389629, 397150, 435690, 99703, 127617, 30199, 299040, 382497, 48602]"
20,20.0,188481,美国财政部拍卖220亿美元52周期国债，得标利率2.020%，投标倍数3.30、前次为3.36。,"[188480, 109498, 455593, 65275, 192962, 286234, 72138, 113809, 154408, 476646, 249965, 281327, 314852, 122962, 161884, 152083, 359961, 470614, 88884, 303040]"
21,21.0,194912,伊拉克石油部官员：3月伊拉克南部港口石油出口量为345.3万桶/日。,"[194911, 12994, 33572, 444872, 340489, 112850, 433550, 393603, 232525, 485334, 260555, 425561, 7696, 59455, 348161, 283030, 477581, 328760, 125069, 1961]"
22,22.0,198100,EIA天然气报告：美国天然气库存总量为16820亿立方英尺，较去年同期减少6800亿立方英尺，同时较5年均值低3720亿立方英尺。,"[198099, 391452, 129847, 149153, 34573, 60654, 371011, 73432, 53152, 40492, 175903, 3379, 318751, 464977, 473252, 259816, 333475, 155541, 419502, 163266]"
23,23.0,209500,评级机构标普：全球地缘政治风险维持在高位，主要受中美贸易紧张态势升级的影响。,"[209499, 215414, 372848, 311723, 383339, 103983, 366165, 41425, 289870, 202712, 413604, 441542, 470586, 154228, 273590, 139578, 245494, 358379, 472627, 155574]"
24,24.0,215415,标普：全球信贷前景展望稳定，尽管地缘政治与资产波动性带来阻力。全球地缘政治风险维持在高位，主要受中美贸易紧张态势升级的影响。,"[215414, 209499, 103983, 326694, 470586, 413604, 178600, 372848, 435389, 41425, 64171, 430704, 416591, 407761, 476101, 472627, 202712, 311723, 71780, 27000]"
25,25.0,238209,美国地震勘查局：日本硫磺岛东南方向233千米处发生5.2级地震。,"[238208, 443438, 392381, 340005, 428338, 467750, 52586, 384168, 233650, 67801, 353552, 216873, 450981, 97592, 160391, 337518, 472033, 78132, 234660, 281953]"
